#N	tolerance	time	iterseconds	threads
100	0.00100	73.96077	126.52652	1
100	0.00010	79.60624	125.61829	1
100	0.00001	78.95136	126.66026	1
100	0.00000	79.17324	126.30530	1
100	0.00000	78.94994	126.66253	1
