#N	tolerance	time	iterseconds	threads
10	0.00001	0.00036	635563.54087	4
20	0.00001	0.01566	65817.87350	4
30	0.00001	0.14312	16587.50884	4
40	0.00001	0.64797	6557.35789	4
50	0.00001	1.82319	3414.88791	4
100	0.00001	24.18971	413.39885	4
