#N	tolerance	time	iterations	iterseconds	threads
50	0.00010	1.51214	510	3377.31749	1
50	0.00010	0.78931	510	6470.14215	2
50	0.00010	0.40200	510	12703.96499	4
50	0.00010	0.22504	510	22692.86179	8
50	0.00010	0.17228	510	29642.77684	12
50	0.00010	0.21904	510	23315.17342	16
50	0.00010	0.31520	510	16202.09195	20
50	0.00010	0.25793	510	19799.35909	24
