#N	tolerance	time	iterations	iterseconds	threads
50	-1.00000	81.12123	10000	1232.72288	1
50	-1.00000	90.38605	10000	1106.36538	2
50	-1.00000	47.74460	10000	2094.47740	4
50	-1.00000	26.15894	10000	3822.78372	8
50	-1.00000	18.36698	10000	5444.55076	12
50	-1.00000	16.93918	10000	5903.47338	16
50	-1.00000	16.92302	10000	5909.10847	20
50	-1.00000	15.64321	10000	6392.54792	24
