#N	tolerance	time	iterations	iterseconds	threads
10	0.00010	0.00023	10	459393.72661	1
20	0.00010	0.01313	45	34936.55350	1
30	0.00010	0.12194	105	8626.71411	1
40	0.00010	0.57873	188	3248.48945	1
50	0.00010	1.70265	271	1592.22239	1
75	0.00010	14.92674	658	441.35550	1
100	0.00010	54.78500	1000	182.53170	1
