#N	tolerance	time	iterseconds	threads
10	0.00001	0.00034	357509.34070	4
20	0.00001	0.02099	25869.50484	4
30	0.00001	0.20956	5955.24049	4
40	0.00001	0.96036	2326.19969	4
50	0.00001	2.94601	1109.97330	4
100	0.00001	79.00363	126.57645	4
