#N	tolerance	time	iterseconds	threads
10	0.00035	0.00035	348273.46044	1
20	0.02103	0.02103	25817.33734	1
30	0.20957	0.20957	5954.89899	1
40	0.99227	0.99227	2251.38253	1
50	2.91649	2.91649	1121.20798	1
100	79.05856	79.05856	126.48850	1
