#N	tolerance	time	iterseconds	threads
50	0.00001	2.91393	1122.19346	1
50	0.00001	2.91321	1122.47268	2
50	0.00001	2.93138	1115.51452	4
50	0.00001	2.94615	1109.92096	8
50	0.00001	2.92831	1116.68516	16
50	0.00001	2.93183	1115.34186	24
