#N	tolerance	time	iterations	iterseconds	threads
50	0.00100	1.17521	398	3392.56295	1
50	0.00010	1.50724	510	3388.29663	1
50	0.00001	1.83790	622	3387.54574	1
50	0.00000	2.14551	734	3423.88033	1
