#N	tolerance	time	iterseconds	threads
50	0.00001	1.85318	3359.61381	1
50	0.00001	1.82163	3417.81097	2
50	0.00001	1.85587	3354.76117	4
50	0.00001	1.83980	3384.05703	8
50	0.00001	1.83978	3384.09566	16
50	0.00001	1.84070	3382.40167	24
